word_pair	sense_relation	dataset_sim	conceptnet_sim	glove_sim	ernie_sim
foliage violet	has_property	0.44	0.165116874	0.456340107	0.255295775
foliage yellow	has_property	0.6	0.206738099	0.48191869	0.262989708
frozen ice	has_property	0.94	0.664970584	0.646504523	0.460489702
fruit sweet	has_property	0.6	0.310841139	0.566339288	0.290883944
fun game	has_property	0.7	0.318629087	0.507089542	0.243458385
fun guy	has_property	0.4	0.039878271	0.444277445	0.257323723
fun kid	has_property	0.66	0.294476527	0.526348232	0.232997314
girl sexy	has_property	0.62	0.013227849	0.726429515	0.288591286
glitter gold	has_property	0.7	0.32587933	0.40713129	0.294039778
glitter sky	has_property	0.66	0.241990601	0.370137966	0.184501989
glitter smile	has_property	0.42	0.165893146	0.300329544	0.26640151
glitter star	has_property	0.6	0.313652606	0.267466177	0.181186843
glitter sunlight	has_property	0.72	0.344209573	0.294783766	0.288058277
glitter sunshine	has_property	0.62	0.360455886	0.331185156	0.281130944
grey stripe	has_property	0.52	0.348051199	0.582668466	0.23804399
guy happy	has_property	0.24	-0.037663304	0.500801347	0.204063448
guy sexy	has_property	0.52	0.048578199	0.487307169	0.263270006
hair redhead	has_property	0.84	0.388380365	0.388690695	0.363575632
haircut hang	has_property	0.3	0.019990496	0.239624662	0.253237654
haircut sexy	has_property	0.46	0.022225745	0.315993161	0.234803248
happy home	has_property	0.46	0.120916396	0.461891854	0.233718871
happy kid	has_property	0.58	0.032982509	0.491218219	0.198289218
happy mom	has_property	0.52	0.079768275	0.549751759	0.176805689
lady sexy	has_property	0.72	0.038772928	0.620098369	0.269869495
lingerie sexy	has_property	0.82	0.404908095	0.714347464	0.296603679
male old	has_property	0.4	0.293248491	0.357435207	0.275295294
man sexy	has_property	0.6	0.013386651	0.448635069	0.184303431
petal pink	has_property	0.56	0.379515419	0.513229093	0.257812727
petal purple	has_property	0.54	0.317993221	0.518750896	0.187033068
petal yellow	has_property	0.68	0.210245035	0.42055011	0.209800993
pink skirt	has_property	0.44	0.190262678	0.589557433	0.292328039
pod round	has_property	0.6	0.049019523	0.258572994	0.160264071
port sweet	has_property	0.34	0.033485966	0.157585904	0.203276948
rain wet	has_property	0.84	0.527134257	0.58746675	0.417355424
raspberry sweet	has_property	0.68	0.352936334	0.535533868	0.203985195
red stripe	has_property	0.5	0.426707577	0.497355826	0.204734769
rust rusty	has_property	0.78	0.71522256	0.571820574	0.432555565
sky sunny	has_property	0.72	0.347034353	0.53367705	0.278039962
sky sunshine	has_property	0.8	0.401268798	0.625054304	0.305068946
skyscraper tall	has_property	0.76	0.347015647	0.361276914	0.337163456
small village	has_property	0.62	0.171529401	0.405716199	0.307375985
soup sweet	has_property	0.38	0.127138987	0.505804362	0.245921133
strawberry sweet	has_property	0.88	0.368013128	0.611952753	0.3001757
stripe violet	has_property	0.36	0.356422096	0.424838549	0.268848958
stripe white	has_property	0.48	0.362032967	0.511966952	0.221932901
stripe yellow	has_property	0.48	0.427377463	0.502806412	0.345530476
summer sunny	has_property	0.82	0.346157007	0.586956193	0.305921466
tall tower	has_property	0.68	0.350768975	0.414322485	0.337453744
amphibian frog	is_a	0.84	0.600558304	0.58044464	0.311769848
amphibian lizard	is_a	0.82	0.438236616	0.499034944	0.296974195
animal cattle	is_a	0.74	0.420311194	0.549367304	0.418632825
animal giraffe	is_a	0.74	0.397629054	0.47700794	0.230676623
apple fruit	is_a	0.88	0.453298923	0.630589028	0.372595631
architecture building	is_a	0.88	0.434261726	0.546360352	0.397315513
art collage	is_a	0.66	0.507817996	0.615359754	0.23925319
art painting	is_a	0.74	0.644090743	0.733651204	0.435399562
art sculpture	is_a	0.78	0.611529371	0.704781286	0.430047912
automobile truck	is_a	0.74	0.591189626	0.599433404	0.397236626
bacon meat	is_a	0.88	0.541304809	0.671110096	0.45872411
bakery shop	is_a	0.78	0.547003978	0.569680596	0.452021483
baseball game	is_a	0.76	0.433295678	0.519195224	0.265602258
bathroom room	is_a	0.74	0.560787745	0.715504728	0.427300747
beard hair	is_a	0.76	0.596265419	0.634870131	0.45922877
bed furniture	is_a	0.9	0.39180919	0.479035468	0.302883078
bedroom room	is_a	0.82	0.685057722	0.69795845	0.504259154
beef meat	is_a	0.86	0.800028432	0.835344645	0.541873554
beetle insect	is_a	0.8	0.663090233	0.655559414	0.430542976
berry cherry	is_a	0.74	0.614638568	0.596045375	0.325857623
berry fruit	is_a	0.82	0.537683916	0.671600006	0.384405842
berry ivy	is_a	0.48	0.155174363	0.34552998	0.237748866
berry raspberry	is_a	0.84	0.676351942	0.712450431	0.399561273
berry strawberry	is_a	0.88	0.625792511	0.664809809	0.472586261
bikini swimsuit	is_a	0.86	0.815821961	0.841758354	0.472242409
bird crow	is_a	0.84	0.554434781	0.582531319	0.374400581
bird eagle	is_a	0.88	0.465994795	0.572398694	0.460023545
bird flamingo	is_a	0.84	0.420521418	0.513022438	0.225497296
bird goose	is_a	0.86	0.504449195	0.500673619	0.342766061
bird gull	is_a	0.74	0.506161839	0.505243984	0.272229272
bird hawk	is_a	0.88	0.549898714	0.589826823	0.379974891
bird hummingbird	is_a	0.9	0.605312745	0.637054942	0.476609194
bird mallard	is_a	0.74	0.426232546	0.455476214	0.283364987
bird owl	is_a	0.78	0.588450519	0.680537314	0.427163663
bird parrot	is_a	0.82	0.598358127	0.64782806	0.415689884
bird pelican	is_a	0.84	0.450949524	0.503449588	0.210936136
bird stork	is_a	0.86	0.438213363	0.501869167	0.211771625
bird swan	is_a	0.76	0.426877468	0.54766584	0.348964407
black colour	is_a	0.7	0.389534833	0.498631982	0.395073325
blue color	is_a	0.74	0.587495934	0.65370023	0.406202533
blue colour	is_a	0.78	0.567198397	0.593278898	0.373356528
blue shade	is_a	0.5	0.316330362	0.532848763	0.247188083
boardwalk trail	is_a	0.62	0.36729448	0.438439107	0.365805178
bracelet jewelry	is_a	0.88	0.707677966	0.744423157	0.470948316
building skyscraper	is_a	0.74	0.547171312	0.502817456	0.430358736
burger food	is_a	0.86	0.386934068	0.520162822	0.40736195
burger mac	is_a	0.56	0.158151371	0.330612382	0.226189647
cactus plant	is_a	0.84	0.391322394	0.425179594	0.323636218
cafe shop	is_a	0.78	0.485857146	0.599920503	0.488183051
candy chocolate	is_a	0.92	0.683632781	0.765495719	0.499144601
canine husky	is_a	0.84	0.332278452	0.420854184	0.365846543
canine poodle	is_a	0.82	0.588379412	0.521292835	0.288575966
canine pug	is_a	0.76	0.54387365	0.497429703	0.181788614
canine puppy	is_a	0.88	0.686595793	0.647235302	0.435096831
canine terrier	is_a	0.78	0.595827774	0.552087688	0.246678276
car vehicle	is_a	0.92	0.831804761	0.766718992	0.635759157
cherry fruit	is_a	0.86	0.494958949	0.634847094	0.306017861
chess toy	is_a	0.58	0.226769065	0.276091732	0.244313584
chocolate dessert	is_a	0.86	0.634862214	0.73298782	0.463108502
clothes hat	is_a	0.78	0.380347061	0.473606014	0.29053346
clothes jacket	is_a	0.86	0.531736525	0.564233593	0.454053503
clothes jean	is_a	0.78	0.407656949	0.441759364	0.335925473
clothes skirt	is_a	0.74	0.446953216	0.553121088	0.353403177
clothes sock	is_a	0.84	0.344593575	0.39768572	0.241856801
color purple	is_a	0.74	0.609198202	0.620107394	0.380209185
color red	is_a	0.84	0.564583176	0.596345239	0.34658991
color violet	is_a	0.84	0.499683861	0.514426634	0.278184356
color yellow	is_a	0.8	0.589147612	0.617743368	0.422796099
colour dark	is_a	0.56	0.316411061	0.519921019	0.261150824
colour grey	is_a	0.76	0.440459484	0.614034276	0.3730584
colour orange	is_a	0.68	0.437109202	0.541209343	0.333917301
colour pink	is_a	0.86	0.529207528	0.548675142	0.386014461
colour purple	is_a	0.76	0.59015073	0.577023946	0.367326233
colour red	is_a	0.82	0.544731673	0.560510801	0.318781503
colour shade	is_a	0.7	0.423163215	0.575479867	0.340708924
colour yellow	is_a	0.72	0.553422943	0.584675731	0.432947982
copper metal	is_a	0.96	0.613993535	0.625487569	0.461612111
cute feel	is_a	0.44	-0.007770928	0.370360565	0.199582427
daffodil flower	is_a	0.9	0.626227206	0.550766256	0.252443016
daffodil plant	is_a	0.84	0.226559289	0.301364147	0.193198493
daisy flower	is_a	0.76	0.543501298	0.604317193	0.322121129
daisy plant	is_a	0.74	0.212500398	0.273085692	0.244123449
dandelion foliage	is_a	0.62	0.318836076	0.424528226	0.152706716
dandelion plant	is_a	0.88	0.267911231	0.340142845	0.203257129
day time	is_a	0.78	0.47962731	0.730796859	0.385703367
design graphic	is_a	0.7	0.421760209	0.595370753	0.275911459
diner restaurant	is_a	0.78	0.841384557	0.693011084	0.585606237
dog husky	is_a	0.74	0.372475895	0.525256184	0.300105743
dog pet	is_a	0.86	0.763340802	0.805946821	0.447406178
dog poodle	is_a	0.86	0.753668949	0.677271837	0.307647255
dog pug	is_a	0.8	0.651432288	0.619431991	0.304023718
dog puppy	is_a	0.9	0.841759783	0.86068877	0.511862499
dog terrier	is_a	0.9	0.725158817	0.709618685	0.315044779
dragonfly insect	is_a	0.8	0.51457503	0.52177974	0.456731183
dress outfit	is_a	0.76	0.698758985	0.676719458	0.408229297
duck mallard	is_a	0.82	0.657988962	0.559787234	0.262310712
evening time	is_a	0.68	0.229190397	0.490350388	0.320973093
feel fun	is_a	0.32	0.110384995	0.528101003	0.187477746
feel happy	is_a	0.8	0.238815095	0.675933441	0.298105447
feline kitten	is_a	0.76	0.726403345	0.657003718	0.231058396
flower lily	is_a	0.74	0.512629868	0.676645694	0.374120731
foliage ivy	is_a	0.62	0.326501847	0.485859739	0.32184556
foliage lily	is_a	0.64	0.227981138	0.480804324	0.242819883
foliage moss	is_a	0.58	0.242189946	0.545378647	0.271721308
food fruit	is_a	0.62	0.274720632	0.554222497	0.334138101
food meat	is_a	0.84	0.520533552	0.681028028	0.50171975
food noodle	is_a	0.72	0.383303119	0.431876983	0.241568103
fruit orange	is_a	0.82	0.419789492	0.562505925	0.322569699
fruit raspberry	is_a	0.84	0.514314295	0.651771483	0.268982604
fruit strawberry	is_a	0.9	0.583652422	0.702971238	0.362063614
fruit tomato	is_a	0.78	0.467532836	0.602840635	0.32925411
fungus mushroom	is_a	0.92	0.619736031	0.488621763	0.517946124
game hockey	is_a	0.88	0.45783026	0.469270947	0.29720605
grave memorial	is_a	0.74	0.46207818	0.538451803	0.315097431
gravestone memorial	is_a	0.76	0.566819263	0.500948685	0.370597916
grey shade	is_a	0.76	0.30658368	0.527878176	0.222538262
guy people	is_a	0.72	0.392492317	0.476692435	0.449068673
gymnastics sport	is_a	0.88	0.507135305	0.479901334	0.270893205
highway road	is_a	0.92	0.82390904	0.77062353	0.601834179
hockey sport	is_a	0.84	0.572287884	0.564149718	0.400657621
ivy plant	is_a	0.9	0.148845007	0.317397694	0.286696728
kitchen room	is_a	0.82	0.469443743	0.655087248	0.416969988
lamb sheep	is_a	0.8	0.687201119	0.614785547	0.421043421
lamp light	is_a	0.84	0.697352941	0.664897708	0.386136645
lantern light	is_a	0.86	0.574887503	0.4932557	0.357660101
light sunlight	is_a	0.88	0.530844631	0.625245324	0.450189853
lily plant	is_a	0.86	0.232906372	0.388884947	0.269402149
lizard reptile	is_a	0.88	0.739003175	0.741259903	0.334492496
mammal monkey	is_a	0.66	0.361553984	0.416143657	0.327981639
mammal rodent	is_a	0.7	0.502009968	0.624719365	0.274825328
morning time	is_a	0.64	0.211710509	0.522091296	0.308826515
moss plant	is_a	0.74	0.166554547	0.37734238	0.303169581
motor vehicle	is_a	0.76	0.613274482	0.59063246	0.415143999
mural work	is_a	0.64	0.19287265	0.253495409	0.148662788
object piano	is_a	0.38	0.072687365	0.076155128	0.216009597
object scooter	is_a	0.4	-0.007084203	0.050450672	0.231937684
painting work	is_a	0.36	0.234325954	0.479083226	0.273497185
palm tree	is_a	0.74	0.264077783	0.495958277	0.26621024
patio room	is_a	0.52	0.380367752	0.536544964	0.302406865
pet poodle	is_a	0.76	0.605018304	0.538446159	0.27102457
pet puppy	is_a	0.76	0.716010514	0.712666341	0.403980296
pet terrier	is_a	0.62	0.527594586	0.535308253	0.222534112
porch room	is_a	0.48	0.350617339	0.558157649	0.283343995
pug terrier	is_a	0.68	0.676602226	0.737294351	0.312546034
railway subway	is_a	0.74	0.553904516	0.522519908	0.420732199
reptile snake	is_a	0.9	0.614765849	0.639259271	0.290783757
restaurant shop	is_a	0.7	0.417105958	0.517218798	0.464012621
room staircase	is_a	0.62	0.370862711	0.507297701	0.300917423
scenery waterfall	is_a	0.76	0.253857889	0.504379749	0.274107867
skyline view	is_a	0.74	0.401517487	0.362988665	0.253542627
skyscraper tower	is_a	0.7	0.627076464	0.641323031	0.43877703
sport swimming	is_a	0.68	0.376302055	0.47047451	0.326138059
truck vehicle	is_a	0.9	0.73730474	0.713352117	0.530311698
van vehicle	is_a	0.8	0.612393307	0.352804609	0.38605072
abstract museum	located_near	0.6	0.135643804	0.184508062	0.183277043
aircraft asphalt	located_near	0.28	0.131339892	0.224660207	0.275215346
airplane airport	located_near	0.82	0.584854782	0.522534787	0.470913586
airport traffic	located_near	0.64	0.278461491	0.40079919	0.280644425
amphibian wild	located_near	0.48	-0.000722182	0.225619296	0.167547176
animal wild	located_near	0.68	0.381455756	0.556282304	0.339843034
animal zoo	located_near	0.82	0.54403403	0.609478663	0.402957641
apartment beach	located_near	0.32	0.184195826	0.451933604	0.262397076
apartment child	located_near	0.3	0.010447699	0.253525026	0.167039382
aquarium fish	located_near	0.92	0.526105489	0.564158842	0.394957488
art exhibition	located_near	0.68	0.48758351	0.63350332	0.31685675
art museum	located_near	0.86	0.543967839	0.614965781	0.311873853
band concert	located_near	0.74	0.538004627	0.583306853	0.431976875
bay beach	located_near	0.82	0.476279287	0.588634742	0.387195211
bay cliff	located_near	0.58	0.203765389	0.351912571	0.194102824
bay harbour	located_near	0.74	0.626599678	0.60835908	0.407363809
bay sea	located_near	0.78	0.487181893	0.574513267	0.396208213
bay shore	located_near	0.78	0.541992611	0.562129622	0.311691649
beach cliff	located_near	0.66	0.300299891	0.428656241	0.324615307
beach coast	located_near	0.84	0.684014977	0.656381002	0.459056419
beach harbour	located_near	0.82	0.443612458	0.541204088	0.418605784
beach sea	located_near	0.88	0.546336301	0.617795073	0.409190635
beach shore	located_near	0.84	0.714542969	0.647103481	0.502548441
bed floor	located_near	0.6	0.37938779	0.575239369	0.320345147
bed room	located_near	0.74	0.451335289	0.646293287	0.34556451
beer patio	located_near	0.46	0.156273089	0.309562367	0.285517565
bench boardwalk	located_near	0.52	0.194769115	0.204351829	0.211658728
bike patio	located_near	0.42	0.069464491	0.247641307	0.267001201
bird wild	located_near	0.54	0.190088179	0.540743725	0.277616593
boardwalk park	located_near	0.58	0.425341788	0.527860441	0.214232529
boat harbour	located_near	0.76	0.424311859	0.534993665	0.30087009
boat shore	located_near	0.76	0.41226015	0.653168318	0.334641126
building downtown	located_near	0.76	0.360893044	0.508044632	0.257705862
cafe street	located_near	0.48	0.257011707	0.491882161	0.323693987
camel desert	located_near	0.58	0.336941559	0.480405275	0.299134677
camel outdoor	located_near	0.4	0.029061851	0.248253604	0.140516811
camera theatre	located_near	0.58	0.120401229	0.239470834	0.231819785
canyon river	located_near	0.72	0.421706245	0.602606837	0.373800679
canyon valley	located_near	0.72	0.678153616	0.718714018	0.500305355
cat garden	located_near	0.42	0.071806837	0.291751342	0.21505307
cattle farm	located_near	0.76	0.544416366	0.654732835	0.365780019
chapel gravestone	located_near	0.56	0.285332675	0.333006674	0.294351752
chapel graveyard	located_near	0.62	0.386419897	0.466993108	0.307225525
cherry vine	located_near	0.44	0.347711182	0.486378246	0.206870002
child school	located_near	0.8	0.254172902	0.514438529	0.345270821
church graveyard	located_near	0.54	0.274455328	0.375768526	0.314829691
city mill	located_near	0.38	0.106471509	0.300647849	0.20365347
cliff coast	located_near	0.68	0.273971332	0.437445757	0.280039499
cliff harbour	located_near	0.54	0.167617577	0.376405776	0.206731056
cliff sand	located_near	0.42	0.24170295	0.46924408	0.240188784
cliff sea	located_near	0.54	0.268705275	0.446105643	0.252144299
cliff shore	located_near	0.42	0.305309979	0.513517851	0.25217107
cliff waterfall	located_near	0.6	0.40585192	0.477746349	0.386782568
cloud sky	located_near	0.84	0.464345175	0.553520423	0.340800105
coast harbor	located_near	0.88	0.428472118	0.577288198	0.276294037
coast harbour	located_near	0.8	0.462950247	0.609440319	0.299075449
coast sailing	located_near	0.62	0.334604129	0.524449189	0.347053434
coast sea	located_near	0.86	0.58905724	0.687582759	0.39677327
cocktail restaurant	located_near	0.72	0.31003944	0.437026968	0.370851355
collage exhibition	located_near	0.62	0.315577317	0.409669866	0.210660734
collection museum	located_near	0.78	0.328820479	0.444508663	0.412336449
computer lab	located_near	0.7	0.257162166	0.485675272	0.284548026
concert musician	located_near	0.9	0.541584174	0.51384125	0.413627937
cottage garden	located_near	0.54	0.307190111	0.561422102	0.387076493
crane wild	located_near	0.5	0.028317436	0.219223	0.161148031
daisy grass	located_near	0.72	0.172421689	0.318515946	0.248725991
daisy gravestone	located_near	0.46	0.091132607	0.062495407	0.140836273
dandelion grass	located_near	0.74	0.353958502	0.449556198	0.188070656
dome interior	located_near	0.42	0.310068714	0.431011672	0.282189205
door interior	located_near	0.6	0.323073577	0.491506041	0.2502609
door patio	located_near	0.6	0.356689533	0.489339772	0.377444565
door porch	located_near	0.6	0.44393434	0.552739164	0.412739673
door room	located_near	0.72	0.370057296	0.556311774	0.423072972
door stair	located_near	0.6	0.356591902	0.40522731	0.351701829
door staircase	located_near	0.58	0.378383923	0.496252566	0.373181313
door wall	located_near	0.8	0.346626246	0.554622803	0.373336307
downtown highway	located_near	0.68	0.278638204	0.491850831	0.348195056
downtown metro	located_near	0.76	0.485859636	0.533719535	0.381342069
downtown shopping	located_near	0.58	0.366588459	0.507658882	0.351945511
downtown subway	located_near	0.62	0.42655332	0.503248882	0.352259556
dragonfly pond	located_near	0.64	0.176106226	0.356269233	0.280720349
egg nest	located_near	0.84	0.477582845	0.493346065	0.315394578
escalator railway	located_near	0.4	0.332583082	0.367374401	0.175637549
escalator subway	located_near	0.64	0.479893557	0.540412131	0.233015378
escalator underground	located_near	0.44	0.281664299	0.229015153	0.228638048
exhibition museum	located_near	0.88	0.598381624	0.673318118	0.452313487
face glitter	located_near	0.54	0.063551541	0.258163809	0.177169021
face tear	located_near	0.76	0.116890492	0.437522798	0.2173564
feather nest	located_near	0.74	0.40944516	0.459290317	0.281112032
field squirrel	located_near	0.42	0.020422627	0.151114035	0.128216407
fishing harbour	located_near	0.68	0.258004568	0.456241067	0.336733883
fishing shore	located_near	0.6	0.330902475	0.59086643	0.353240186
floor interior	located_near	0.72	0.178356681	0.504772825	0.342956746
flower garden	located_near	0.96	0.49904853	0.607886183	0.422249766
flower wild	located_near	0.58	0.141291797	0.388437129	0.246243866
foliage garden	located_near	0.74	0.369434365	0.519830321	0.333538625
forest frog	located_near	0.62	0.149730057	0.419437547	0.307170716
forest hummingbird	located_near	0.46	0.029253964	0.209584846	0.23247584
frog tropical	located_near	0.52	0.166677958	0.366132082	0.213193302
frost grass	located_near	0.48	0.098378245	0.388359772	0.203447086
furniture room	located_near	0.66	0.384148913	0.500052261	0.326822902
garage garden	located_near	0.36	0.347216911	0.502991191	0.305376343
garbage underground	located_near	0.32	0.053583162	0.302180452	0.202964276
garden house	located_near	0.5	0.323098672	0.596780709	0.335024778
garden patio	located_near	0.68	0.636312813	0.711701342	0.452271858
garden pumpkin	located_near	0.7	0.182937324	0.379565608	0.242678142
giraffe zoo	located_near	0.74	0.507787563	0.533757635	0.18443772
grave graveyard	located_near	0.88	0.6952806	0.580487415	0.4197664
gravestone graveyard	located_near	0.94	0.651783867	0.559447293	0.39063478
harbor sea	located_near	0.76	0.447022843	0.551297441	0.340672298
harbor shore	located_near	0.78	0.516972135	0.640316367	0.389942284
harbour scenery	located_near	0.6	0.127479123	0.436106371	0.189977319
harbour sea	located_near	0.84	0.487572992	0.605084562	0.379594123
harbour shore	located_near	0.74	0.518982976	0.614820461	0.417389632
harbour town	located_near	0.56	0.242874691	0.469017951	0.322731878
hawk wild	located_near	0.62	0.158575239	0.353206407	0.205250256
hill horizon	located_near	0.52	0.084631877	0.374084247	0.296993207
hill path	located_near	0.58	0.16232658	0.382480785	0.289458251
hill road	located_near	0.54	0.332158826	0.639419766	0.396560467
hill town	located_near	0.48	0.197740916	0.527973673	0.354492085
horizon sky	located_near	0.74	0.502607319	0.692804293	0.366258299
house poster	located_near	0.42	0.013175291	0.214468318	0.157543559
hummingbird tropical	located_near	0.52	0.196081321	0.319205998	0.242550214
insect twig	located_near	0.44	0.169097263	0.395402397	0.266960163
interior object	located_near	0.5	0.101452382	0.235343967	0.228598649
interior paint	located_near	0.62	0.312390046	0.542584899	0.251260019
interior patio	located_near	0.44	0.226218263	0.423433283	0.281220653
interior porch	located_near	0.4	0.200969844	0.379485907	0.260952793
interior roof	located_near	0.62	0.237349559	0.561462383	0.285015849
interior room	located_near	0.78	0.28038077	0.456386457	0.227558271
interior stair	located_near	0.5	0.087538696	0.301816482	0.232215125
interior staircase	located_near	0.62	0.138638543	0.421817732	0.270507352
interior wall	located_near	0.68	0.259890142	0.510395524	0.236545658
ivy wall	located_near	0.44	0.167103392	0.270735013	0.253312424
lake town	located_near	0.34	0.175462364	0.4675587	0.313130583
lawn patio	located_near	0.62	0.538706892	0.61181332	0.450459017
lily pond	located_near	0.74	0.187348551	0.453510758	0.268854617
mammal wild	located_near	0.62	0.245332503	0.40514109	0.187037037
market orange	located_near	0.38	0.039975461	0.169004985	0.135885547
market sushi	located_near	0.44	0.098666081	0.192245057	0.229230957
mill sunflower	located_near	0.4	0.081660437	0.231810157	0.211452345
mist sky	located_near	0.6	0.355816474	0.533663796	0.273011534
misty sky	located_near	0.44	0.336299445	0.56492307	0.249209687
moon sky	located_near	0.74	0.454961752	0.712658461	0.361478429
moon sun	located_near	0.72	0.515898526	0.689137537	0.49186376
office table	located_near	0.68	0.156018328	0.337559487	0.240883354
outdoor pool	located_near	0.64	0.275267054	0.614214694	0.202529118
outdoor swimming	located_near	0.54	0.257419224	0.602177472	0.252078523
patio pool	located_near	0.56	0.439065923	0.617055894	0.28665504
port ship	located_near	0.86	0.475008796	0.442566238	0.346118922
puddle street	located_near	0.5	0.131901072	0.24704398	0.23386658
reptile wild	located_near	0.62	0.107543553	0.29680075	0.1513688
restaurant scenery	located_near	0.3	0.065313949	0.246065339	0.242972041
river valley	located_near	0.74	0.55928037	0.714857147	0.426303338
sailing shore	located_near	0.7	0.358766166	0.542554668	0.331565618
sand sea	located_near	0.76	0.373571896	0.591405853	0.323930028
sand shore	located_near	0.8	0.392634875	0.555230507	0.323385576
scenery trail	located_near	0.64	0.143754262	0.451139826	0.198918213
sea shore	located_near	0.86	0.585998724	0.679827868	0.414505632
shopping street	located_near	0.42	0.256523024	0.468563562	0.304739773
shore town	located_near	0.48	0.152598336	0.470138198	0.279093307
shore water	located_near	0.9	0.232651977	0.46470767	0.323723282
sky sun	located_near	0.8	0.475136799	0.710791468	0.41920534
sky sunlight	located_near	0.82	0.386191244	0.576260403	0.320900687
subway underground	located_near	0.8	0.589804524	0.484610009	0.38953814
surf surfer	located_near	0.78	0.866035331	0.716354083	0.528092199
swim underwater	located_near	0.78	0.457430292	0.489159459	0.384617074
tunnel underground	located_near	0.86	0.520174288	0.496278138	0.356878004
valley village	located_near	0.5	0.304810735	0.545647573	0.391755266
valley waterfall	located_near	0.56	0.309855416	0.480578285	0.319599604
airport asphalt	made_of	0.46	0.169578705	0.194362181	0.293500225
arch brick	made_of	0.44	0.22779203	0.41754284	0.241030412
arch concrete	made_of	0.46	0.164426158	0.362898003	0.231636712
asphalt road	made_of	0.8	0.424800779	0.436354158	0.391092597
beach pebble	made_of	0.6	0.371568454	0.435465885	0.238630917
beach sand	made_of	0.96	0.605460225	0.640246355	0.431911778
bead gold	made_of	0.44	0.266551333	0.458278519	0.216920363
bead necklace	made_of	0.68	0.52352928	0.683675232	0.265813497
bottle glass	made_of	0.78	0.512162917	0.622011507	0.406939843
bread sandwich	made_of	0.92	0.585387468	0.68693672	0.465655686
brick building	made_of	0.78	0.474668996	0.608391244	0.320688952
brick ceiling	made_of	0.56	0.247261311	0.505840823	0.201392273
brick house	made_of	0.72	0.283620956	0.547147676	0.221604934
brick interior	made_of	0.42	0.072981573	0.433615288	0.216416047
brick porch	made_of	0.46	0.314918602	0.619859698	0.22331442
brick roof	made_of	0.58	0.373871919	0.617282715	0.299614615
brick skyscraper	made_of	0.52	0.234880614	0.370486243	0.317549175
brick staircase	made_of	0.56	0.272023951	0.52427941	0.219562058
brick wall	made_of	0.74	0.444277623	0.570763914	0.37615999
building concrete	made_of	0.64	0.341881104	0.59962421	0.322214772
burger meat	made_of	0.8	0.527767871	0.609379706	0.404790218
ceiling marble	made_of	0.46	0.313802604	0.561663243	0.224272744
ceramic floor	made_of	0.62	0.073050874	0.3693301	0.22314742
ceramic tile	made_of	0.72	0.425426509	0.638243022	0.470115613
cloud droplet	made_of	0.72	0.241117852	0.307440459	0.232664309
coin gold	made_of	0.76	0.47642416	0.592545799	0.313168489
coin silver	made_of	0.84	0.457648362	0.580119506	0.324127286
collection work	made_of	0.34	0.103226041	0.311904254	0.257696491
concrete floor	made_of	0.74	0.254297728	0.503223843	0.27823396
concrete school	made_of	0.46	-0.022916909	0.212045947	0.197693859
fabric handle	made_of	0.32	0.012328659	0.290288188	0.124512154
floor marble	made_of	0.72	0.294531353	0.529831173	0.262947125
fountain marble	made_of	0.48	0.328245522	0.547037938	0.382697734
grass lawn	made_of	0.96	0.733102714	0.732842062	0.436467838
grass weed	made_of	0.76	0.560198099	0.591255689	0.34681773
ice snow	made_of	0.92	0.605580555	0.592620988	0.457360172
iron steel	made_of	0.86	0.586747365	0.668503994	0.507563047
jacket leather	made_of	0.8	0.416097115	0.576721485	0.393304539
lake water	made_of	0.9	0.438159455	0.577296085	0.414302093
leather rope	made_of	0.46	0.155893928	0.398041017	0.332314723
leather shoe	made_of	0.84	0.444138062	0.589438343	0.312729624
marble statue	made_of	0.68	0.443968887	0.527284216	0.376576551
marble wall	made_of	0.52	0.325701423	0.503142487	0.239921523
ocean water	made_of	0.92	0.403518826	0.600399245	0.426424207
pond water	made_of	0.9	0.525383524	0.633368264	0.361730535
porch stone	made_of	0.4	0.146876521	0.443584879	0.169988879
puddle water	made_of	0.76	0.440398972	0.436878712	0.27963847
river water	made_of	0.98	0.456022864	0.575847062	0.414124219
roof tile	made_of	0.68	0.423279077	0.514312487	0.290493543
sea water	made_of	0.9	0.380572914	0.582007873	0.415425146
snow snowman	made_of	0.9	0.639817235	0.512213279	0.772818579
steel wing	made_of	0.42	0.053647758	0.258454373	0.223589919
stone wall	made_of	0.76	0.336015611	0.554608466	0.273057705
abandon button	none	0.18	0.032267273	0.105336234	0.081266619
abandon crane	none	0.16	0.018596216	0.127312054	0.207188192
abandon frost	none	0.18	-0.046618763	0.104497153	0.131703847
abstract candle	none	0.26	-0.007673201	0.14790188	0.140047085
abstract frog	none	0.08	-0.008037218	0.155969533	0.203146491
abstract moon	none	0.3	-0.024836011	0.161790477	0.188935329
abstract rally	none	0.28	-0.070133942	-0.000948013	0.174314879
abstract rose	none	0.26	0.018850796	0.130670393	0.166954642
abstract vehicle	none	0.12	0.015067594	0.090078903	0.190143916
action dress	none	0.3	0.015201402	0.160118295	0.20849882
action subway	none	0.32	0.001527098	0.103186444	0.182098082
action truck	none	0.44	-0.022493768	0.211003215	0.228461575
action whisker	none	0.18	0.066864202	0.126659999	0.220261025
ad bacon	none	0.2	-0.008144077	0.161140145	0.166998671
ad track	none	0.3	-0.013133148	0.210731342	0.146494836
advertisement pond	none	0.1	-0.076716941	0.044601427	0.171953831
